西暦,一般史関係,天皇,年号,成立した文化遺産（絵巻・文学など）,摂政・関白,文化史
794,平安京に遷都,桓武天皇,延暦2,,なし,
812,,嵯峨天皇,弘仁3,,なし,神泉苑で初めて花宴節会おこなわれる
806,,平城天皇,大同元,,なし,空海帰国し真言宗を開く
805,,桓武天皇,延暦24,,なし,最澄帰国し天台宗を開く
804,遣唐使出発、翌年帰国,桓武天皇,延暦23,,なし,最澄・空海、遣唐使に随行
823,空海、東寺を賜り救王護国寺と称す,嵯峨天皇,弘仁14,,なし,比叡山寺、延暦寺と称す
858,藤原良房摂政となり摂関政治開始,清和天皇,天安2,,藤原良房（摂政）,
851,,文徳天皇,仁寿元,この頃『絵因果経』成る,藤原良房（関白）,清涼殿を解体し嘉祥寺の堂とす
866,応天門の変,清和天皇,貞観8,,藤原良房（摂政）,
894,遣唐使廃止（菅原道真建言）,宇多天皇,寛平6,,なし,最澄に仏教大師、円仁に慈覚大師号
901,道真大宰府に流される,醍醐天皇,延喜9,藤原時平ら『三代実録』完成,なし,
905,,醍醐天皇,延喜5,『古今和歌集』成る,なし,
927,,醍醐天皇,延長5,藤原忠平ら『延喜式』完成 / 小野道風「智証大師諡号勅書」成る。,なし,
930,,醍醐天皇,延長8,,藤原忠平（関白）,清涼殿に落雷、藤原清貫ら震死
935,平将門が常陸にて挙兵(承平の乱)。,朱雀天皇,承平5,『竹取物語』『伊勢物語』成る。,藤原忠平（関白）,
939,藤原純友挙兵（天慶の乱）,朱雀天皇,天慶2,紀貫之『土佐日記』成る/『将門記』成立。,藤原忠平（関白）,
951,,村上天皇,天暦5,『後撰集』,なし,宮中梨壷に和歌所設置
960,内裏焼亡,村上天皇,天徳4,,なし,天徳歌合
967,『延喜式』施行,冷泉天皇,康保4,『宇津保物語』成る。,藤原実頼（関白）,
985,,花山天皇,寛和元,源信『往生要集』成る,藤原兼家（関白）,
1016,道長、法成寺を建立す,後一条天皇,長和5,藤原公任『和漢朗詠集』を撰す,藤原道長（摂政）,
1000,中宮定子を皇后、女御彰子を中宮とする（二后並立）,一条天皇,長保2,清少納言『枕草子』成るか / この頃、紫式部『源氏物語』主要部完成 / この頃『和泉式部日記』成る,藤原道長（内覧）,
976,内裏焼亡、堀河第に移御（里内裏の最初）,円融天皇,貞元元,『蜻蛉日記』成る。,藤原兼通（関白）,
1021,,後一条天皇,治安元,,藤原頼通（摂政）,『御堂関白記』道長自筆記事終わる
1019,道長出家／北九州へ刀伊入冠,後一条天皇,寛仁3,,藤原頼通（摂政）,道長、法性寺を建立す
1028,平忠常の乱（〜1031）,後朱雀天皇,長元元,長元年中初め『栄花物語』成立,藤原頼通（摂政）,
1040,,後朱雀天皇,長久元,藤原公任『北山抄』成る,藤原頼通（関白）,
1052,これより「末法」の世に入る,後冷泉天皇,永承7,,藤原頼通（関白）,頼通、平等院を供養
1053,,後冷泉天皇,天喜元,『堤中納言物語』成る / 菅原孝標女『更級日記』成る / 藤原明衡『新猿楽記』を著す,藤原頼通（関白）,
1051,前九年の役起こる（〜1062）,後冷泉天皇,永承6,,藤原頼通（関白）,
1077,,白河天皇,承暦元,,藤原師実（関白）,法勝寺落慶供養（六勝寺最初）
1083,後三年の役起こる（〜1087）,白河天皇,永保3,,藤原師実（関白）,
1124,,崇徳天皇,天治元,この頃『伴大納言絵巻』成る,藤原忠通（関白）,中尊寺金色堂
1098,,堀河天皇,承徳2,源氏物語絵巻（春日隆能）,白河上皇（院政）,
1086,白河上皇、院政開始,堀河天皇,応徳3,藤原通俊『後拾遺和歌集』成る,白河上皇（院政）,
1105,,堀河天皇,長治2,京都に田楽流行,白河上皇（院政）,藤原清衡、中尊寺建立
1132,平忠盛、内昇殿を許される,鳥羽天皇,長承元,『大鏡』成る,藤原忠通（関白）,
1156,保元の乱起こる,後白河天皇,保元元,,藤原忠通（関白）,
1144,,近衛天皇,天養元,『伊呂波字類抄』成る,藤原忠通（関白）,藤原顕輔『詞花和歌集』撰進
1141,,崇徳天皇,永治元,『信貴山縁起絵巻』,藤原忠通（関白）,
1140,,崇徳天皇,保延6,『鳥獣人物戯画』,藤原忠通（関白）,佐藤義清出家し西行と号す
1168,,高倉天皇,仁安3,,摂政・関白なし（院政）,清盛、厳島神社を造営
1164,,六条天皇,長寛2,平清盛、厳島神社に納経（平家納経）,摂政・関白なし（院政）,清盛、蓮華王院（三十三間堂）を造る
1159,平治の乱起こる,二条天皇,平治元,,藤原忠通（関白）,強装束・十二単衣成立/男子の眉ずみ、白粉、染歯始まる
1167,平清盛、太政大臣となる,六条天皇,仁安2,,摂政・関白なし（院政）,
1169,,高倉天皇,嘉応元,後白河上皇『梁塵秘抄』を撰す / この頃『今鏡』成る,摂政・関白なし（院政）,
1180,源頼政・頼朝・義仲ら挙兵,安徳天皇,治承四,『粉河寺縁起絵巻』成る,摂政・関白なし（平氏政権）,東大寺・興福寺焼打ち
1177,鹿ケ谷の謀議発覚,高倉天皇,治承元,『年中行事絵巻』成る,摂政・関白なし（院政）,京都大火、大極殿焼失
1185,平家滅亡/守護・地頭を設置,後鳥羽天皇,文治元,『病草紙』成る,後白河法皇（院政）,東大寺大仏落慶供養
1189,奥州平泉藤原氏滅亡,後鳥羽天皇,文治五,この頃『吉備大臣入唐絵詞』成る,後白河法皇（院政）,
1187,,後鳥羽天皇,文治三,『地獄草紙』成る,後白河法皇（院政）,源頼朝、鶴岡八幡宮で放生会・流鏑馬
1192,源頼朝、征夷大将軍となる,後鳥羽天皇,建久三,『餓鬼草紙』成る,摂政・関白なし（鎌倉幕府成立）,
1199,頼朝没、頼家継ぐ,土御門天皇,正治元,二毛作始まる,摂政・関白なし（幕府主導）,東大寺南大門成る/重源、東大寺三月堂修造
1203,北条時政、実朝を将軍に擁立,後鳥羽天皇,建仁3,運慶・快慶、東大寺金剛力士像完成,源実朝,
1205,時政、畠山重忠を討つ,土御門天皇,元久2,藤原定家ら『新古今和歌集』撰進,北条義時,
1213,和田合戦、義盛敗死,順徳天皇,建保元,源実朝『金槐和歌集』成る。『宇治拾遺物語』『紫式部日記絵巻』成る,北条義時,
1212,,順徳天皇,建暦2,鴨長明『方丈記』成る。『保元物語』『平治物語』成る,源実朝,
1207,法然・親鸞ら配流される,土御門天皇,承元元,,北条義時,
1219,実朝殺害、源氏嫡統滅亡,順徳天皇,承久元,『北野天神縁起絵』成る,北条義時,
1224,北条泰時、執権となる,後堀河天皇,元仁元,,北条泰時,
1232,泰時、『御成敗式目』（貞永式目）制定,四条天皇,貞永元,,北条泰時,定家『新勅撰和歌集』撰進
1226,九条頼経（三寅）、征夷大将軍就任,四条天皇,嘉禄2,,北条泰時,定慶、鞍馬寺聖観音像を造る
1221,承久の乱。六波羅探題設置,後堀河天皇,承久三,この頃、『当麻曼荼羅縁起』『西行物語絵巻』,北条義時,
1220,,仲恭天皇,承久二,慈円『愚管抄』著す。『平家物語』成る,北条義時,
